,n_transactions
2022-12-31,1731.3564958357558
2023-01-01,2045.2598056277948
2023-01-02,2094.69939765897
2023-01-03,2112.251436732974
2023-01-04,2062.4988355083433
2023-01-05,2303.3972206421463
2023-01-06,2612.039722258067
2023-01-07,1726.213820240174
2023-01-08,2056.1941828187364
2023-01-09,2105.9744376085127
2023-01-10,2126.709777695844
2023-01-11,2082.7816319512303
2023-01-12,2307.2896874242215
2023-01-13,2599.0816829037008
2023-01-14,1761.6788291688415
2023-01-15,2074.5509716742004
2023-01-16,2117.419490317358
2023-01-17,2139.3088000484036
2023-01-18,2100.344825380437
2023-01-19,2309.4827137137
2023-01-20,2585.3693497581307
2023-01-21,1793.7320253845232
2023-01-22,2090.4094528032065
2023-01-23,2127.012037950949
2023-01-24,2149.8907295408126
2023-01-25,2115.489574191369
2023-01-26,2310.2994880645324
2023-01-27,2571.1881815756933
2023-01-28,1822.8069380769712
2023-01-29,2104.1510231577126
2023-01-30,2135.0785832140537
2023-01-31,2158.7926201297782
2023-02-01,2128.5788676772418
2023-02-02,2310.0304384896995
2023-02-03,2556.772057055975
2023-02-04,1849.2730384154627
2023-02-05,2116.095595439915
2023-02-06,2141.8887343652473
2023-02-07,2166.2946023496506
2023-02-08,2139.9177444249367
2023-02-09,2308.9135627896803
2023-02-10,2542.3066045822416
2023-02-11,1873.4447537129495
2023-02-12,2126.5115000000665
2023-02-13,2147.6649086193675
2023-02-14,2172.629501956101
2023-02-15,2149.7628484804727
2023-02-16,2307.1434862855476
2023-02-17,2527.937859406807
2023-02-18,1895.5903613256742
